State Vector Calculation


Calculation Inputs

Calculation type     = State Vector
Target type          = Object
Target               = sun
Observer type        = Object
Observer             = earth
Reference frame      = ITRF93
Light propagation    = No correction
Time system          = UTC
Time format          = Calendar date and time
Time range           = Jan 1 2016 00:00:00 to Dec 31 2017 00:00:00
Step                 = 1 hours
State representation = Rectangular


State Vector Results

UTC calendar date               Distance (km)       Speed (km/s)    X (km)               Y (km)               Z (km)              dX/dt (km/s)     dY/dt (km/s)     dZ/dt (km/s)  Time at Target                  Light Time (s)
2016-01-04 11:00:00.000000 UTC  147100997.14663365   9862.20157513   130286223.04671190    37796830.14972388  -56882361.73357504    2748.93131790   -9471.34566388    2.79880353  2016-01-04 11:00:00.000000 UTC    490.67611016
2016-01-04 12:00:00.000000 UTC  147101042.60096723   9862.51589261   135633414.36738527     2799723.22539267  -56872270.84615082     204.72763435   -9860.39038002    2.80738547  2016-01-04 12:00:00.000000 UTC    490.67626178
2016-01-04 13:00:00.000000 UTC  147101089.24824297   9862.83118487   131743295.21792072   -32390288.64076024  -56862147.55803341   -2353.58237899   -9577.89543857    2.81679897  2016-01-04 13:00:00.000000 UTC    490.67641738
2016-01-04 14:00:00.000000 UTC  147101137.08603325   9863.14745060   118880218.90513313   -65376520.52580219  -56851988.96266464   -4751.76046409   -8643.05745280    2.82698644  2016-01-04 14:00:00.000000 UTC    490.67657695
2016-01-04 15:00:00.000000 UTC  147101186.11191260   9863.46468889    97919678.37630962   -93912225.89434631  -56841792.45749471   -6826.46314446   -7119.50339229    2.83783751  2016-01-04 15:00:00.000000 UTC    490.67674048
2016-01-04 16:00:00.000000 UTC  147101236.32345720   9863.78289926    70288718.79126589  -116053625.49306771  -56831555.92174768   -8436.36724093   -5110.96006069    2.84919646  2016-01-04 16:00:00.000000 UTC    490.67690797
2016-01-04 17:00:00.000000 UTC  147101287.71824518   9864.10208088    37868781.71944291  -130292312.13581532  -56821277.86097744   -9471.79639140   -2754.19222227    2.86087303  2016-01-04 17:00:00.000000 UTC    490.67707940
2016-01-04 18:00:00.000000 UTC  147101340.29385665   9864.42223230     2867595.44539120  -135658012.36760175  -56810957.50893651   -9862.19284757    -209.69015760    2.87265519  2016-01-04 18:00:00.000000 UTC    490.67725478
2016-01-04 19:00:00.000000 UTC  147101394.04787397   9864.74335225   -32331165.55134293  -131784704.29502985  -56800594.88060918   -9580.92552889    2349.25926546    2.88432343  2016-01-04 19:00:00.000000 UTC    490.67743408
2016-01-04 20:00:00.000000 UTC  147101448.97788143   9865.06544015   -65330214.21078809  -118935586.07337312  -56790190.77224558   -8647.10669398    4748.37378231    2.89566574  2016-01-04 20:00:00.000000 UTC    490.67761731
2016-01-04 21:00:00.000000 UTC  147101505.08146587   9865.38849536   -93881922.38899517   -97985191.78733169  -56779746.70759845   -7124.29330059    6824.24550290    2.90649227  2016-01-04 21:00:00.000000 UTC    490.67780445
2016-01-04 22:00:00.000000 UTC  147101562.35621625   9865.71251640  -116041410.39278044   -70359869.89626735  -56769264.83471855   -5116.16129263    8435.47085687    2.91664796  2016-01-04 22:00:00.000000 UTC    490.67799550
2016-01-04 23:00:00.000000 UTC  147101620.79972416   9866.03750146  -130299027.44053714   -37940675.27400322  -56758747.78136521   -2759.44722095    9472.28264218    2.92602286  2016-01-04 23:00:00.000000 UTC    490.67819044
2016-01-05 00:00:00.000000 UTC  147101680.40958370   9866.36344974  -135683198.82994494    -2935286.03591211  -56748198.47787508    -214.63773435    9864.02806939    2.93455989  2016-01-05 00:00:00.000000 UTC    490.67838928
2016-01-05 01:00:00.000000 UTC  147101741.18339163   9866.69036116  -131826633.21593323    32272333.59535540  -56737619.95755059    2344.95910569    9583.98334821    2.94225933  2016-01-05 01:00:00.000000 UTC    490.67859200
2016-01-05 02:00:00.000000 UTC  147101803.11874750   9867.01823447  -118991378.34322883    65284286.87705445  -56727015.14904327    4745.01647625    8651.17672815    2.94917857  2016-01-05 02:00:00.000000 UTC    490.67879859
2016-01-05 03:00:00.000000 UTC  147101866.21325374   9867.34706753   -98051015.97876403    93852058.00157939  -56716386.67812275    6822.06162958    7129.09563259    2.95542742  2016-01-05 03:00:00.000000 UTC    490.67900905
2016-01-05 04:00:00.000000 UTC  147101930.46451570   9867.67686020   -70431205.77615717   116029662.69701642  -56705736.69145309    8434.61030246    5121.36572552    2.96116093  2016-01-05 04:00:00.000000 UTC    490.67922337
2016-01-05 05:00:00.000000 UTC  147101995.87014186   9868.00761194   -38012624.60566615   130306204.65012534  -56695066.70996690    9472.80431340    2764.69598126    2.96656968  2016-01-05 05:00:00.000000 UTC    490.67944154
2016-01-05 06:00:00.000000 UTC  147102062.42774400   9868.33932048    -3002909.31288491   135708808.30197460  -56684377.52513826    9865.89585887     219.57006664    2.97186592  2016-01-05 06:00:00.000000 UTC    490.67966355
2016-01-05 07:00:00.000000 UTC  147102130.13493705   9868.67198622    32213677.64553782   131868915.55003023  -56673669.14577115    9587.06863531   -2340.68214186    2.97726981  2016-01-05 07:00:00.000000 UTC    490.67988940
2016-01-05 08:00:00.000000 UTC  147102198.98933960   9869.00560755    65238622.34590251   119047428.54060020  -56662940.79712647    8655.26723571   -4741.68871416    2.98299407  2016-01-05 08:00:00.000000 UTC    490.68011908
2016-01-05 09:00:00.000000 UTC  147102268.98857360   9869.34018359    93822515.33497854    98116983.31942102  -56652190.97352585    7133.91003423   -6819.91160848    2.98922964  2016-01-05 09:00:00.000000 UTC    490.68035257
2016-01-05 10:00:00.000000 UTC  147102340.13026494   9869.67571436   116018263.70686768    70502558.65723236  -56641417.54076577    5126.57299352   -8433.78557185    2.99613281  2016-01-05 10:00:00.000000 UTC    490.68058987
2016-01-05 11:00:00.000000 UTC  147102412.41204298   9870.01219814   130313723.75878665    38084462.13307731  -56630617.88110408    2769.93814766   -9473.36130561    3.00381437  2016-01-05 11:00:00.000000 UTC    490.68083098
2016-01-05 12:00:00.000000 UTC  147102485.83154148   9870.34963413   135734719.55335912     3070298.21017678  -56619789.07140504     224.48683337   -9867.79602989    3.01233225  2016-01-05 12:00:00.000000 UTC    490.68107588
2016-01-05 13:00:00.000000 UTC  147102560.38639796   9870.68802174   131911429.00544673   -32155363.96014740  -56608928.08175483   -2336.42863928   -9590.18112996    3.02168748  2016-01-05 13:00:00.000000 UTC    490.68132457
2016-01-05 14:00:00.000000 UTC  147102636.07425424   9871.02736014   119103613.54534824   -65193385.83181746  -56598031.98185083   -4738.39068884   -8659.37790101    3.03182401  2016-01-05 14:00:00.000000 UTC    490.68157703
2016-01-05 15:00:00.000000 UTC  147102712.89275673   9871.36764829    98182970.14637488   -93793458.39492275  -56587098.14051934   -6817.79554692   -7138.73615359    3.04263264  2016-01-05 15:00:00.000000 UTC    490.68183327
2016-01-05 16:00:00.000000 UTC  147102790.83955598   9871.70888518    70573804.65787964  -116007376.12851296  -56576124.40487001   -8432.99667895   -5131.78273116    3.05395837  2016-01-05 16:00:00.000000 UTC    490.68209328
2016-01-05 17:00:00.000000 UTC  147102869.91230760   9872.05106983    38156064.08709438  -130321746.17330846  -56565109.24729658   -9473.95354167   -2775.17336714    3.06561080  2016-01-05 17:00:00.000000 UTC    490.68235703
2016-01-05 18:00:00.000000 UTC  147102950.10867170   9872.39420127     3137329.39574734  -135761092.77703600  -56554051.87006462   -9869.72841928    -229.38771714    3.07737716  2016-01-05 18:00:00.000000 UTC    490.68262454
2016-01-05 19:00:00.000000 UTC  147103031.42631352   9872.73827840   -32097515.14730894  -131954332.72875015  -56542952.26011413   -9593.32059585    2332.19885881    3.08903677  2016-01-05 19:00:00.000000 UTC    490.68289579
2016-01-05 20:00:00.000000 UTC  147103113.86290336   9873.08330014   -65148698.98497053  -119160091.69278143  -56531811.19065559   -8663.50843040    4735.12258718    3.10037597  2016-01-05 20:00:00.000000 UTC    490.68317077
